가게	Store
처음	First
척	To appear or look as 못 이기는 ~
천	Cloth, woven stuff 실로 짠 물건
천둥	Thunder
철	Discretion, prudence (Become sensible, wise) ~이 들다
첫	First
첫날	The first day
첫째	The first
촛불	Candle-light
추위	Cold
춤	Dance
치마	A skirt
침	Spit ~을 뱉다
칸	Blank space
칼	A knife 베는 도구
칼국수	Knife-cut noodles
코	The nose
코끝	The tip of one’s nose
코끼리	An elephant
코피	A nose bleed
콩	A bean
콩나물	Bean soup
크기	Size, dimensions
큰길	main/principal road
큰딸	Oldest daughter
큰소리	A loud voice, loudly
큰아들	Oldest son
큰아버지	Uncle older than one’s father
큰어머니	The wife of the elder brother of one’s father
큰일	An important affair, a serious matter 중대한 일
큰절	A deep bow
키	stature,height 신장
탓	fault,blame
터	one’s status, one’s lot
터	A site, place
턱	Reason, grounds 알 ~이 없다
턱	The chin 신체의 일부
털	Hair; fur, feathers
토끼	A rabbit
튀김	рыба, зажаренная в тесте
틀	A frame, framework; mold
틈	A crack, gap, opening
파	Onions 식물
파리	A fly
판	A match, game, contest 마지막 ~
팔	An arm 신체의 일부
편	Direction, way (the wind is blowing that ~) 바람이 부는 ~
편	Facilities, services 기차 ~
풀	Glue (spread the ~) ~을 바르다
풀	Grass (cut the ~) ~을 베다
품	Width; bosom, breast (the clothes have a big ~) 옷이 ~이 크다
피	Blood (is flowing) ~를 흘리다
피망	A pimento &프piment
핑계	Excuse
하나	One
하나님	God
하나하나	Each individual piece
하느님	God
하늘	The sky
하룻밤	One night, a single night
하품	Yawning
한	One, a single
한가운데	The very middle, the center
한겨울	Midwinter, the dead of winter
한구석	A corner, a nook
한글	Korean writing system
한글날	Korean writing system national holiday
한낮	Noon
한눈	A look, glampse, look ~에 반하다
한동안	For quite a while
한두	One or two
한둘	One or two
한때	For a while, temporarily
한마디	One word
한숨	A breath ~을 쉬다
한여름	Midsummer, the middle of summer
한쪽	On one side
한참	For some time, for a while
할머니	Grandmother
할아버지	Grandfather
해	A year
햇볕	Sunbeams, sunlight
햇빛	Sunshine, sunlight
햇살	The rays of the sun
허리	The waist, the small of the back
헌	Old, shabby, worn-out
혀	The tongue
호박	Pumpkin
혼자	Alone
혼잣말	Talking to oneself
화	Anger (get angry) ~를 내다
화살	An arrow
후춧가루	Ground pepper
흉내	Imitation, mimicry
흐름	Flowing, a stream/current
흙	earth,the soil
힘	Power
발길	A kick; walking pace, steps
싹	A bud,sprout
멍멍	A bruise
텅	Hollow ~ 비다
다짐	Pledge, vow, swear
그저께	The day before yesterday
어저께	Yesterday
오늘	Today
모레	The day after tomorrow
하루	A day
이튿	2 days
사흘	3 days
나흘	4 days
닷새	5 days
열흘	10 days
보름	15days,the 15th day
일흔	Seventy
다섯	5
다섯째	Fifth
여섯	6
쉰	50
스무	20
스물	20
세	Three ~ 권
셋	3
셋째	The third
English loaned words	
가이드	Guide guide
가스	Gas
기타	Guitar guitar
가톨릭	Catholic Catholic
게임	Game game
골	Goal
골프	Golf golf
그래픽	Graphic graphic
그램	Gram
그룹	Group group
뉴욕	New york New York
달러	Dollar dollar
뉴스	News news
넥타이	Necktie necktie
마사지	Massage massage
마요네즈	Mayonnaise &프mayonnaise
마이크	Mike
마크	Mark
마라톤	Marathon marathon
메뉴	Menu menu
메모	Memo memo
메시지	Message
메일	Mail
모니터	Monitor monitor
모델	Model model
미니	Mini
미디어	Media
미사일	Missile
미스	Miss
미터	Meter
미팅	Meeting
밀리미터	Millimeter millimeter
매스컴	Mass communication mass communication
바나나	Banana banana
비디오	Video video
바이러스	Virus
바이올린	Violin
발레	Ballet
배드민턴	Badminton badminton
벨트	Belt
버터	Butter
버튼	Button
벤치	Bench bench
보너스	Bonus bonus
볼링	Bowling
볼펜	A ballpen ball pen
브랜드	Brand
블라우스	Blouse
비닐	a thin sheet of plastic, vinyl
비타민	Vitamin vitamin
빌딩	Building building
샌드위치	Sandwich sandwich
샤워	Shower shower
서비스	Service
서클	Circle
세미나	Seminar
세트	Set
센터	Center
센티미터	Centimeter
소스	Sauce
소시지	Sausage
소파	Sofa
소프트웨어	Software
쇼핑	Shopping shopping
슈퍼마켓	Supermarket supermarket
스웨터	Sweater
스위치	Switch
스케이트	Skate
스케줄	Schedule
스타	Star
스타일	Style
스튜디오	Studio
스트레스	Stress stress
스포츠	Sports sports
시나리오	Scenario
시디	C.D. 콤팩트디스크
시디롬	CD-ROM
시리즈	Series
시멘트	Cement
시스템	System
시즌	Season
아나운서	Announcer
아스팔트	Asphalt asphalt
아시아	Asia Asia
아이디어	Idea idea
아이스크림	Ice cream ice-cream
아파트	Apartment
아프리카	Africa
알루미늄	Aluminum
알코올	Alcohol alcohol
액세서리	Accessory
앨범	Album
에너지	Energy
에어컨	Air conditioner air conditioner
엔진	Engine
엘리베이터	Elevator
오븐	Oven
오페라	opera
채널	Channel channel
챔피언	Champion champion
초콜릿	Chocolate chocolate
치즈	Cheese cheese
카드	Card card
카레	Curry curry
카메라	Camera camera
카운터	Counter, where you pay 계산대
카페	Cafe (place to drink coffee) &프cafe
캐나다	Canada Canada
캐릭터	Character character
캠퍼스	Campus
캠페인	Campaign campaign
커튼	Curtain
커피	Coffee coffee
컨디션	Condition condition
컬러	Color color
컴퓨터	Computer computer
케첩	Ketchup ketchup
코너	Corner corner
코드	Code code
코미디	Comedy comedy
코스	Course course
코스모스	Cosmos cosmos
코치	Coach coach
코트	Court court
콘서트	Concert concert
콜라	Cola cola
콤플렉스	Complex complex
쿠데타	Coup d’etat (overthrow of the government)
크리스마스	Christmas Christmas
크림	Cream cream
클래식	Classic classic
클럽	Club club
키스	Kiss kiss
킬로	Kilo kilo
킬로그램	Kilogram kilogram
킬로미터	Kilometer kilometer
타입	Type type
오피스텔	Office hotel (studio apt) office hotel
온라인	Online
올림픽	Olympic
와인	Wine wine
와이셔츠	A white dress shirt white shirts
원피스	(one-piece) a dress one-piece
월드컵	World cup World Cup
웨이터	Waiter waiter
유럽	Europe
유머	Humor
이데올로기	Ideology &독Ideologie
이미지	Image
인터넷	Internet
인터뷰	Interview
잠바	Jumper jumper
장르	Genre &프genre
재즈	Jazz jazz
조깅	Jogging
주스	Juice juice
택시	Taxi taxi
탤런트	Talent
터널	Tunnel
터미널	Terminal
테니스	Tennis tennis
테러	Terror terror
테스트	Test test
테이블	Table table
테이프	Tape tape
텍스트	Text text
텔레비전	Television
토마토	Tomato
트럭	Truck
티셔츠	T-shirts T-shirts
팀	Team
파리	Paris
파일	File
파티	Party party
팝송	Pop song
패션	Fashion
팩	Pack
팩스	fax
팩시밀리	Facximile, fax facsimile
팬	A fan, an enthusiast 애호가
팬	Pan pan
팬티	Panties (male and female underwear) panties
퍼센트	Percent percent
페인트	Paint paint
포스터	Poster poster
포인트	Point point
포크	Fork
프로	Professional professional
프로	Program program
프로그램	Program program
프랑스	France France
프린터	Printer printer
플라스틱	Plastic plastic
피디	PD – a newspaper article PD
피시	PC, personal computer PC
피아노	Pian piano
피자	Pizza
필름	Film
하드웨어	hardware
핸드백	Handbag 
핸드폰	Cell phone
햄버거	Hamburger 
호텔	Hotel 
홈페이지	Homepage 
헬기	Helicopter r機
