있다	To be
벌이다	(1) to plan to start a job/project (2) to play a table game
벗기다	Unclothe, undress
벗다	Take off, remove
베다	Cut, chop 목을 ~
보내다	посылать; отправлять
보내오다	присылать
보다	To see
보다	To try
보살피다	Take care of
보이다	see,catch sight of 보다'의 피동사
보이다	show,let see 보다'의 사동사
볶다	жарить; тушить
뵈다	See (polite) 웃어른을 보다
뵈다	보이다
뵙다	see,meet
부딪치다	сильно удариться; с силой столкнутьс
부딪히다	сталкиваться; разбиваться
부러지다	Break, get broken
부르다	To call 이름을 ~
부서지다	Break, be broken
부치다	to send, to post 편지를 ~
불다	Blow 바람이 ~
불러일으키다	rouse,stir up
불리다	To be called 부르다'의 피동사
불리다	soak,steep 물에 ~
불어오다	Call to come
붐비다	столпиться; набитый народом; срочный; спешный
붓다	to pour (water, liquid) 물을 ~
붓다	распухать; вздуваться; набухать 얼굴이 ~
붙다	Stick, adhere to
붙들다	catch,seize,grasp
붙이다	affix,put on
붙잡다	seize,catch
붙잡히다	крепко держаь(ся); схватиться
비기다	сыграть (закончиться) вничью; составлять баланс.  Same as 무승부를 기록하다
비다	To be empty, vacant
비롯되다	To be begun, to have started
비비다	тереть, растирать; натирать; приправлять
비우다	empty,vacate
비웃다	насмехаться, высмеивать кого-л.)
비추다	освещать; озарять; просвечивать (что-л. лучами); отражаться
비치다	светиться; освещаться; отражаться
비키다	отодвигаться; сторониться
빌다	желать; просит занимать 소원을 ~
빌리다	давать в долг
빛나다	shine,glitter
빠뜨리다	Throw into (a river); entice, entrap
빠져나가다	Get/go out of here
빠져나오다	Come out of somewhere
빠지다	To indulge in, be addicted to 머리가 ~
빠지다	To fall into 물에 ~
빨다	стирать 옷을 ~
빨다	сосать 젖을 ~
빼놓다	exclude,leave out
빼다	Pull out, extract 가시를 ~
빼앗기다	A thing be taken away
빼앗다	отнимать
뺏다	Straight
뻗다	растянуться; слечь
뽑다	выбирать; вытаскивать
뽑히다	быть избранным
뿌리다	sprinkle,scatter
뿌리치다	Shake off, refuse
사귀다	общаться; дружит
사다	To buy, purchase
사들이다	закупать
사라지다	To disappear
살다	To live
살아가다	Lead a life, get along
살아나다	revive,be brought back to life
살아남다	Survive
살아오다	To come out alive
살리다	1) revive, bring around, restore to life  2) save,spare,rescue
살펴보다	Watch closely
살피다	Take a good look at
삶다	варить; кипятить
삼가다	быть осторожным; остерегаться;
삼다	делать (считать) (кого-л, кем-л., чем-л.)
삼키다	глотать; проглатыват
새기다	To sculpt,engrave 문신을 ~
새다	leak,escape from 비가 ~
새우다	не спать ночью 밤을 ~
생기다	arise,occur,happen
생겨나다	To begin, germinate
서다	To stand
서두르다	To hurry up
섞다	blend,mix
섞이다	To be mixed,blended
세다	Count 돈을 ~
세우다	Stand up, erect
세워지다	To become erected
소리치다	To shout, yell
속삭이다	Whisper
속이다	deceive,cheat
손잡다	Take a person by the hand
솟다	rise,soar,tower above
숙이다	Lower one’s head
숨기다	To hide
숨다	To be in hiding, to hide oneself
숨지다	Breathe one’s last breath
쉬다	to relax, take a break 편안히 ~
쉬다	to breathe 숨을 ~
스치다	Graze past 살짝 닿다
시들다	вянуть; увядать
시키다	заставлять (позволять) кого; принуждать делать что
식다	To get cold, cool off
식히다	To cool, let cool. 차게 하다
신다	Put on, wear
싣다	грузить что чем; перевозить
심다	plant,sow (a tree)
싸다	Wrap in, bundle 보자기에 ~
싸우다	To fight
쌓다	To pile up
쌓이다	Be piled/heaped up
썩다	Go bad, rot
썰다	Chip, mince,dice
